2,2.5,1,18.35186,0.5
2,3,0,3.139363,1
2,3.5,1,3.446475,0.25
2,2.5,1,3.863836,0.5
4,2,1,3.824838,1
2,4,1,3.909458,0.25
2.5,2,1,3.677864,0.5
2,3.5,1,3.713234,0
4,2,0,3.037464,0
2,3.5,0,3.720565,0.75
2,4,0,3.65175,0.75
2,3,0,6.327106,0.5
3.5,2,1,2.917771,1
2,3,0,2.893784,1
4,2,0,3.640704,0
2,3.5,0,5.305722,0.5
2,2.5,0,3.669356,1
2,4,1,4.015626,0.25
2.5,2,0,9.088373,0.25
2,4,0,3.919586,1
2,2.5,1,7.115266,0.5
3.5,2,0,12.72088,0.5
2,3,1,6.956679,0.5
2,2.5,0,10.92415,0.75
2.5,2,1,3.448743,1
3.5,2,0,6.030537,0.25
2,4,0,4.386682,0.75
4,2,0,10.35672,0.5
2.5,2,0,4.086833,0.25
2,4,1,2.925685,0
2.5,2,0,13.7151,0.25
2.5,2,0,5.541667,0
2,2.5,1,3.294282,0.25
2,3,1,3.164145,0.25
2,4,1,6.629877,0.5
3,2,0,11.28369,1
4,2,0,4.193611,0.75
2,3,1,3.355536,0.5
3,2,0,3.120725,1
2.5,2,0,9.515735,0.25
3,2,0,3.307984,0.25
3.5,2,0,2.868462,0.5
3.5,2,0,2.949594,0
2,3,0,5.691018,1
2.5,2,1,3.346432,1
2,3,0,3.536498,0.75
2,3,1,2.647148,0
3.5,2,1,3.525391,1
2.5,2,0,9.23534,0.75
3.5,2,1,2.891166,1
2,3.5,1,8.244726,0.75
2,2.5,1,4.507744,0
2.5,2,1,8.351022,0.75
2,3.5,0,19.07472,0.75
2.5,2,1,9.430427,1
3.5,2,0,4.256034,0
2.5,2,0,12.65839,0.75
3,2,0,5.000175,0
3,2,1,2.955615,0.75
2,4,1,3.507743,0.25
2.5,2,0,2.515152,0
2,4,0,3.774819,0.75
3,2,1,6.67573,0.75
3.5,2,0,5.833276,0.25
4,2,1,3.015512,1
2,2.5,0,6.07489,1
2,3.5,0,3.726588,1
2,4,1,3.682003,0.5
3.5,2,1,3.346343,1
2,3,1,4.915763,0.25
2,3,0,5.468013,0.75
2,3,1,4.007338,0.5
2,4,0,2.811834,1
2,4,1,10.00181,0.25
3.5,2,1,6.237375,0.75
2,4,1,3.867246,0
3,2,0,3.918901,0.25
2,3,1,3.51072,0
4,2,1,4.244905,1
2,3.5,1,4.099408,0.25
2,4,1,3.720336,0.25
2,3,0,5.274045,0.75
3.5,2,0,25.42403,0.5
2,3.5,1,2.918095,0.25
4,2,0,3.840509,0
2,3,1,13.01234,0.5
2,4,1,6.58678,0.5
2,3.5,0,12.99668,0.75
3.5,2,0,3.507993,0
2,4,0,4.326017,0.75
2,2.5,1,8.881734,0
2.5,2,1,3.643896,0.5
2,3.5,1,8.913421,0.5
2,4,1,5.145211,0.5
3,2,0,3.255924,0
2.5,2,1,3.452398,0.75
2,3,1,3.35864,0
3,2,0,5.48504,0.25
3.5,2,0,3.406109,0
2,2.5,1,2.944545,0
